StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q39,Q39,Q28,Q42,Q43,Q44,Q1_1,Q1_2,Q1_3,Q30,Q13,Q24_1,Q24_2,Q24_3,Q25_1,Q23_1,Q23_2,Q26_1,Q27_1,Q6_1,Q7_1,Q8_1,Q8_2,Q16,Q17,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q31,Q31,mTurkCode,Q1_2 - Topics
2017-02-06 18:17:04,2017-02-06 18:21:49,IP Address,104.11.61.83,100,284,True,2017-02-06 18:21:50,R_2pQqNMNxxKSNiiy,,,,,37.918106079102,-122.07350158691,anonymous,,Region #1,2,5,1,2,50,Business Program Director,American,Male,Player 1,0.2,0.5,0.25,0.5,,,,0.5,Very positively,Strongly agree,Some experience,Some experience,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,Clock,909525,
2017-02-06 18:20:52,2017-02-06 18:22:51,IP Address,24.74.136.196,100,118,True,2017-02-06 18:22:53,R_30l8N6MNg5KF1eW,,,,,35.403396606445,-80.861099243164,anonymous,,Region #1,1,6,1,1,42,Marketing,American,Female,Player 2,,,,,0.5,0.5,0.5,0.5,Very positively,Strongly agree,No experience at all,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,3161490,
2017-02-06 18:20:53,2017-02-06 18:23:06,IP Address,173.89.228.6,100,132,True,2017-02-06 18:23:07,R_3ewtys0b6KcdFKc,,,,,41.229202270508,-80.42440032959,anonymous,,,10,5,0,5,23,Guard,American,Female,Player 1,0.07,0.07,0.1,0.5,,,,0.48,Very negatively,Neither agree nor disagree,No experience at all,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,6929210,
2017-02-06 18:17:54,2017-02-06 18:23:13,IP Address,74.9.72.162,100,319,True,2017-02-06 18:23:15,R_324RLMVuerVeqph,,,,,40.854598999023,-74.061401367188,anonymous,,,5,2,1,1,28,Planner,American,Male,Player 1,0.25,0.6,0.4,0.55,,,,0.5,Somewhat positively,Somewhat agree,Some experience,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,821185,
2017-02-06 18:26:31,2017-02-06 18:29:22,IP Address,108.200.41.181,100,170,True,2017-02-06 18:29:23,R_2rOOAJXB6e5BQaz,,,,,32.723495483398,-97.462501525879,anonymous,,,2,4,0,0,43,Teacher,USA,Male,Player 2,,,,,0,0.5,0.25,0.5,Neutral,Strongly agree,Some experience,Some experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,4996935,
2017-02-06 18:29:46,2017-02-06 18:31:21,IP Address,68.52.107.175,100,94,True,2017-02-06 18:31:23,R_qDu3xz3CzXLDSTf,,,,,36.347900390625,-86.60050201416,anonymous,,,20,30,5,3,25,video producer,USA,Female,Player 1,0,1,0.5,0.25,,,,0.51,Very positively,Strongly agree,No experience at all,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,837621,
2017-02-06 18:26:33,2017-02-06 18:32:57,IP Address,103.77.1.167,100,383,True,2017-02-06 18:32:58,R_1rdnlab67ek8aKN,,,,,28.570007324219,77.320007324219,anonymous,,Region #1,3,6,2,0.15,45,telecommuter - work from home,Indian,Female,Player 1,0.1,0.3,0.21,0.5,,,,0.5,Very positively,Strongly agree,Some experience,No experience at all,"540
280","500
500","520
520","560
300","500
500","570
300","510
510","500
500","490
490",,Clock,7181999,
2017-02-06 18:31:52,2017-02-06 18:33:34,IP Address,24.74.136.196,100,102,True,2017-02-06 18:33:35,R_3NU3QnqmvczoyAW,,,,,35.403396606445,-80.861099243164,anonymous,,Region #1,2,3.5,1,2.5,52,product management,American,Female,Player 2,,,,,0.4,0.6,0.5,0.5,Very positively,Strongly agree,No experience at all,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,9849199,
2017-02-06 18:32:06,2017-02-06 18:35:12,IP Address,117.203.75.66,100,186,True,2017-02-06 18:35:14,R_1Hdg0p12BXbvNRx,,,,,10.992492675781,76.961395263672,anonymous,,,50,10,20,10,38,supervisior,indian,Female,Player 2,,,,,0.51,0.5,0.04,0.6,Neutral,Neither agree nor disagree,&nbsp;,Some experience,"540
280","500
100","520
120","500
100","490
90","500
100","510
510","500
100","480
100",,,2308332,
2017-02-06 18:32:04,2017-02-06 18:36:34,IP Address,75.184.125.59,100,269,True,2017-02-06 18:36:35,R_1eY1YAqB2HkwOB0,,,,,44.52409362793,-87.905601501465,anonymous,,,2,2,1,0,35,Buyer,"Caucasian ",Male,Player 1,0.1,0.5,0.05,0.5,,,,0.25,Very positively,Somewhat agree,Some experience,Some experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,1450195,
2017-02-06 18:32:00,2017-02-06 18:36:39,IP Address,120.89.109.230,100,278,True,2017-02-06 18:36:40,R_Yccf0Mz8ww02U25,,,,,27.716705322266,85.316711425781,anonymous,,Other,55,12,2,0.05,31,teacher,nepal,Male,Player 2,,,,,0.58,0.54,0.52,0.38,Somewhat positively,Somewhat agree,&nbsp;,&nbsp;,,,,,,,,"500
100",,,,4616840,
2017-02-06 18:34:32,2017-02-06 18:37:12,IP Address,173.28.249.80,100,160,True,2017-02-06 18:37:14,R_31t1eNsPj9PwfXz,,,,,41.573806762695,-90.458198547363,anonymous,,,4,5,5,7,29,Network Administrator (IT),,Male,Player 2,,,,,0.3,0.45,0.2,0.3,Very negatively,Somewhat disagree,&nbsp;,&nbsp;,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","500
500","540
300",,,8542853,
2017-02-06 18:34:56,2017-02-06 18:38:00,IP Address,199.244.48.209,100,183,True,2017-02-06 18:38:01,R_R8IoogePQO61bY5,,,,,44.469802856445,-123.34300231934,anonymous,,Other,1,1,2,0.25,25,Bank teller,U.S,Male,Player 1,0.68,0.83,0.85,0.75,,,,0.62,Somewhat positively,Strongly agree,&nbsp;,Some experience,"540
280","560
300","580
320","560
300",,"570
300","560
300","550
300","540
300",,,6257025,
2017-02-06 18:34:33,2017-02-06 18:38:33,IP Address,59.99.97.60,100,240,True,2017-02-06 18:38:35,R_1jVOEOfDGz6cQYW,,,,,11.86669921875,75.365295410156,anonymous,,,2,1,0.5,0,39,engineer,indian,Female,Player 1,0.5,1,0.4,0.2,,,,0.25,Neutral,Strongly agree,&nbsp;,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,6105853,
2017-02-06 18:34:57,2017-02-06 18:41:12,IP Address,69.46.92.68,100,374,True,2017-02-06 18:41:13,R_28zHuABmtSAARjs,,,,,37.33869934082,-121.89140319824,anonymous,,,0.5,2,2,1,29,Sales manager,USA,Male,Player 2,,,,,0.72,0.81,0.53,0.5,Somewhat positively,Somewhat agree,&nbsp;,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,1801642,
2017-02-06 18:41:57,2017-02-06 18:47:29,IP Address,42.109.210.155,100,332,True,2017-02-06 18:47:32,R_2zusBLj6yH8xsox,,,,,12.983306884766,77.583312988281,anonymous,,,50,5,5,2,45,manager,IN,Male,Player 2,,,,,0.4,0.61,0.5,0.5,Somewhat positively,Somewhat agree,Some experience,Some experience,"540
280","500
500","520
520","560
300","560
300","570
300","560
300","550
300","540
300",,Clock,3399127,
2017-02-06 18:45:44,2017-02-06 18:48:10,IP Address,108.219.9.131,100,145,True,2017-02-06 18:48:11,R_2dym1XTzhDmbLX2,,,,,35.16650390625,-120.43759918213,anonymous,,,0.5,0.5,0.075,0.05,22,student,USA,Female,Player 1,0.1,0.5,0.1,0.25,,,,0.5,Very positively,Somewhat agree,&nbsp;,Some experience,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,,6691311,
2017-02-06 18:41:55,2017-02-06 18:48:35,IP Address,72.94.255.212,100,399,True,2017-02-06 18:48:37,R_1NmEK4ddgRaz5mw,,,,,39.90559387207,-75.487396240234,anonymous,,Region #1,0.5,1,1,1,45,unemployed,US American,Female,Player 1,0.2,0.09,0.1,0.72,,,,0.55,Very positively,Strongly agree,&nbsp;,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Other,1810938,
2017-02-06 18:47:05,2017-02-06 18:49:18,IP Address,50.137.142.118,100,132,True,2017-02-06 18:49:19,R_UKk1qqHT9HhyYcp,,,,,45.481796264648,-122.60049438477,anonymous,,,0.1,10,0,0,31,self-employed,American,Female,Player 1,0.5,0.5,0.5,0.5,,,,0.5,Very positively,Strongly agree,No experience at all,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,8160182,
2017-02-06 18:47:47,2017-02-06 18:49:49,IP Address,12.175.207.67,100,121,True,2017-02-06 18:49:50,R_3HBIMlhJmEvXHPJ,,,,,30.358596801758,-103.66210174561,anonymous,,,0,2,2,0,27,Attractions Host,American,Male,Player 1,0,0.02,0.01,0.5,,,,0.01,Very positively,Strongly agree,Some experience,Some experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,1319737,
2017-02-06 18:47:41,2017-02-06 18:49:54,IP Address,75.135.131.48,100,132,True,2017-02-06 18:49:55,R_2BkxljWUDmTaIYc,,,,,45.34489440918,-84.915000915527,anonymous,,,10,10,5,1,30,Nurse,White,Female,Player 2,,,,,0.26,0.5,0.41,0.51,Somewhat positively,Strongly agree,No experience at all,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,7020629,
2017-02-06 18:47:05,2017-02-06 18:50:01,IP Address,107.132.216.234,100,175,True,2017-02-06 18:50:02,R_DV4KlA1x7IrS1zj,,,,,35.383193969727,-119.22720336914,anonymous,,,5,7,3,1,36,Consultant,White,Female,Player 2,,,,,0.5,1,0.4,0.5,Somewhat positively,Strongly agree,No experience at all,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,7009465,
2017-02-06 18:47:42,2017-02-06 18:50:03,IP Address,97.120.145.73,100,141,True,2017-02-06 18:50:05,R_2wgxCgqGMShtkhz,,,,,45.440704345703,-122.61569976807,anonymous,,,1,2,0,0,,,,,Player 2,,,,,0.4,0.5,0.5,0.5,Somewhat positively,Strongly agree,&nbsp;,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,9138418,
2017-02-06 18:45:42,2017-02-06 18:50:10,IP Address,108.183.59.140,100,268,True,2017-02-06 18:50:12,R_2dL5OtoHGMi4n4V,,,,,42.050903320312,-75.889099121094,anonymous,,,1,1,0.5,0.5,55,radiology technician,USA,Female,Player 2,,,,,0.4,0.5,0.4,0.5,Very positively,Strongly agree,Some experience,Some experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,5208964,
2017-02-06 18:47:38,2017-02-06 18:50:11,IP Address,50.89.180.123,100,152,True,2017-02-06 18:50:12,R_10A6Wb4uDDejOcF,,,,,28.389892578125,-81.436599731445,anonymous,,,65,40,15,2.5,38,sales tech,usa,Male,Player 1,0.4,0.45,0.3,0.45,,,,0.6,Somewhat positively,Somewhat agree,&nbsp;,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,4699851,
2017-02-06 18:48:16,2017-02-06 18:50:12,IP Address,68.190.62.210,100,116,True,2017-02-06 18:50:14,R_cwpOByWaGnoDbtT,,,,,34.251907348633,-86.257102966309,anonymous,,,0,0,0,0,25,cashier,white,Male,Player 1,0.11,0.16,0.18,1,,,,1,Very negatively,Strongly disagree,&nbsp;,Some experience,"540
280","500
500","520
120","560
300","500
500","500
100","560
300","500
100","490
490",,,435681,
2017-02-06 18:47:41,2017-02-06 18:50:22,IP Address,173.67.251.220,100,161,True,2017-02-06 18:50:24,R_1Hc390ird79FfRG,,,,,37.467697143555,-77.589996337891,anonymous,,,2,4,1,0.025,60,general manager-retail,American,Male,Player 1,0.3,0.6,0.4,0.5,,,,0.5,Somewhat positively,Somewhat agree,Some experience,Some experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,9908336,
2017-02-06 18:47:47,2017-02-06 18:50:23,IP Address,184.59.120.129,100,156,True,2017-02-06 18:50:25,R_30jKfOxKcg9uTrb,,,,,39.832992553711,-84.217697143555,anonymous,,,3,3,1,1,32,Contracting,American,Male,Player 2,,,,,0.5,0.5,0.5,0.5,Somewhat positively,Somewhat agree,&nbsp;,&nbsp;,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,652859,
2017-02-06 18:47:41,2017-02-06 18:50:56,IP Address,71.187.14.109,100,194,True,2017-02-06 18:50:57,R_2ykFG92IByl3tup,,,,,40.912094116211,-74.174797058105,anonymous,,,5,5,2,5,27,Office Assistant,American,Male,Player 1,0.2,0.6,0.3,0.5,,,,0.5,Very positively,Strongly agree,Extensive experience,Extensive experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,9122593,
2017-02-06 18:47:37,2017-02-06 18:52:00,IP Address,97.84.230.230,100,262,True,2017-02-06 18:52:01,R_bklbPE9Uw45p6lr,,,,,42.852600097656,-86.12629699707,anonymous,,Other,2,3,1,1,27,Consultant,American,Male,Player 2,,,,,0.03,0.3,0.1,0.5,Somewhat positively,Somewhat agree,No experience at all,&nbsp;,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,Clock,7457362,
2017-02-06 18:48:16,2017-02-06 18:52:20,IP Address,24.20.124.0,100,244,True,2017-02-06 18:52:21,R_3PYv3VYPZu7Qzt2,,,,,45.498001098633,-122.77839660645,anonymous,,Other,1,5,0,0,28,Unemployed,USA,Male,Player 2,,,,,0.25,0.5,0.1,0.4,Very positively,Strongly agree,No experience at all,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,3185425,
2017-02-06 18:47:41,2017-02-06 18:53:35,IP Address,186.88.69.240,100,354,True,2017-02-06 18:53:37,R_2rl1z8o9c7iWhJV,,,,,10.631698608398,-71.640602111816,anonymous,,Other,5,5,2,3,30,engineer,venezuelan,Male,Player 1,0.2,0.5,0.2,0.5,,,,0.5,Somewhat positively,Somewhat agree,&nbsp;,&nbsp;,"480
480","560
300","580
320","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,535062,
2017-02-06 18:50:47,2017-02-06 18:54:19,IP Address,108.18.68.27,100,212,True,2017-02-06 18:54:21,R_1LBQwolsdjG8rmO,,,,,38.936996459961,-76.99340057373,anonymous,,,1,5,0,0,34,Systems Analyst,American,Female,Player 1,0.3,0.4,0.1,0.5,,,,0.5,Very positively,Strongly agree,Extensive experience,Extensive experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,1691495,
2017-02-06 18:45:49,2017-02-06 18:54:53,IP Address,122.174.109.210,100,543,True,2017-02-06 18:54:54,R_2U5fLGcisbe5FOi,,,,,13.083297729492,80.283294677734,anonymous,,Region #1,2,5,2,2,49,Self-employed,Indian,Male,Player 2,,,,,0.05,0.75,0.2,0.5,Neutral,Somewhat disagree,No experience at all,No experience at all,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,Clock,4739867,
2017-02-06 18:50:47,2017-02-06 18:56:35,IP Address,199.116.153.82,100,347,True,2017-02-06 18:56:37,R_0fEEG9lC8fsoS9H,,,,,37.38720703125,-82.94059753418,anonymous,,Region #1,2,5,5,1,63,retired,american,Male,Player 2,,,,,0.28,0.39,0.5,0.5,Very positively,Strongly agree,&nbsp;,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,1601757,
2017-02-06 18:48:21,2017-02-06 18:57:53,IP Address,74.102.15.38,100,572,True,2017-02-06 18:57:54,R_23Wc0ZbgFpNf80N,,,,,40.936401367188,-74.11840057373,anonymous,,,2,3,0,1,27,,,Male,Player 1,0.2,0.5,0.44,0.51,,,,0.51,Somewhat positively,Strongly agree,No experience at all,No experience at all,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,Clock,767002,
2017-02-06 18:54:07,2017-02-06 18:59:23,IP Address,76.178.236.32,100,315,True,2017-02-06 18:59:24,R_1NevWJRgjh5PyUB,,,,,43.582992553711,-71.03929901123,anonymous,,,3,5,1,2,27,Freelance Writer,American,Female,Player 2,,,,,0.2,0.6,0.25,0.5,Somewhat negatively,Strongly agree,&nbsp;,No experience at all,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,Clock,9901721,
2017-02-06 19:11:27,2017-02-06 19:13:08,IP Address,108.46.157.192,100,100,True,2017-02-06 19:13:09,R_2sTkvHlgyV3VVoG,,,,,40.682601928711,-73.467002868652,anonymous,,,3,10,0,3,22,live chat rep,white,Male,Player 2,,,,,0.1,0.5,0.5,0.5,Very positively,Strongly agree,Some experience,Some experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,3097249,
2017-02-06 19:14:33,2017-02-06 19:16:57,IP Address,184.20.12.198,100,143,True,2017-02-06 19:16:58,R_ywKlY7CtVhQkjQJ,,,,,39.768402099609,-86.157997131348,anonymous,,,1,5,1,1,31,manager,usa,Female,Player 1,0,1,0.4,0.5,,,,0.5,Somewhat negatively,Neither agree nor disagree,&nbsp;,&nbsp;,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,,3856546,
2017-02-06 19:14:27,2017-02-06 19:18:49,IP Address,174.27.131.98,100,261,True,2017-02-06 19:18:50,R_29687QmHL3qVcKe,,,,,40.73860168457,-111.8591003418,anonymous,,,2,0.1,0.5,1,47,IT coder,USA,Male,Player 2,,,,,0.3,0.5,0.4,0.5,Very positively,Strongly agree,Extensive experience,Extensive experience,"480
480","500
500","520
520","490
490","500
500","500
500","510
510","500
500","490
490",,,9629560,
2017-02-06 19:16:52,2017-02-06 19:19:55,IP Address,73.23.153.157,100,183,True,2017-02-06 19:19:56,R_2tDN2dgpL0VAVXr,,,,,26.621704101562,-81.840599060059,anonymous,,Region #1,15,6,6,3,51,administrative assistant,american,Female,Player 1,0.23,0.68,0.53,0.51,,,,0.51,Somewhat positively,Somewhat agree,Some experience,Some experience,"540
280","560
300","520
120","560
300","560
300","500
100","560
300","550
300","540
300",,,9387300,
2017-02-06 19:24:25,2017-02-06 19:27:02,IP Address,192.136.218.189,100,156,True,2017-02-06 19:27:03,R_1kGEJ7hCBXeLk71,,,,,32.658493041992,-97.089797973633,anonymous,,,3,3,2,1,22,Marketing Coordinator,American,Male,Player 2,,,,,0.51,0.72,0.08,0.51,Somewhat negatively,Neither agree nor disagree,&nbsp;,No experience at all,"540
280","560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,Clock,459814,
2017-02-06 19:24:25,2017-02-06 19:30:27,IP Address,108.131.97.97,100,362,True,2017-02-06 19:30:29,R_2zpYHQKbaXxEwyD,,,,,34.897903442383,-88.579399108887,anonymous,,,0,1,0,0,75,Homemaker,United States,Female,Player 1,0,0.5,0.2,0.6,,,,0.5,Very positively,Neither agree nor disagree,Some experience,Some experience,,"560
300","580
320","560
300","560
300","570
300","560
300","550
300","540
300",,Clock,4130349,
